Name,symbol,address,owner,decimals,coingecko,logo
Synthetix Network Token,SNX,https://etherscan.io/address/0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xeb3107117fead7de89cd14d463d340a2e6917769,18,https://www.coingecko.com/en/coins/havven,https://ethplorer.io/images/snx2.png
Maker,MKR,https://etherscan.io/address/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0x0000000000000000000000000000000000000000,18,https://www.coingecko.com/en/coins/maker,https://ethplorer.io/images/mkr.png
Storj,STORJ,https://etherscan.io/address/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x,8,https://www.coingecko.com/en/coins/storj,https://ethplorer.io/images/storj.png
Swipe,SXP,https://etherscan.io/address/0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0x772463ce2f97393218f610c2688529880c9f730a,18,https://www.coingecko.com/en/coins/swipe,https://ethplorer.io/images/SXP8ce9137d.png
Balancer,BAL,https://etherscan.io/address/0xba100000625a3754423978a60c9317c58a424e3d,0x,18,https://www.coingecko.com/en/coins/balancer,https://ethplorer.io/images/balancer.png
Tellor,TRB,https://etherscan.io/address/0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,0x,18,https://www.coingecko.com/en/coins/tellor,https://ethplorer.io/images/tellor.png
Nest Protocol,NEST,https://etherscan.io/address/0x04abeda201850ac0124161f037efd70c74ddc74c,0x,18,https://www.coingecko.com/en/coins/nest,https://ethplorer.io/images/nest.png
Kyber Network,KNC,https://etherscan.io/address/0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0xfdf28bf25779ed4ca74e958d54653260af604c20,18,https://www.coingecko.com/en/coins/kyber-network,https://ethplorer.io/images/knc.png
Gatechain Token,GT,https://etherscan.io/address/0xe66747a101bff2dba3697199dcce5b743b454759,0x5a0c161cdd3d3e2a82f3ace2d38a4646c32f96dd,18,https://www.coingecko.com/en/coins/gatechain-token,https://ethplorer.io/images/GTe66747a1.png
Amun Ether 3x Daily Long,ETH3L,https://etherscan.io/address/0x239b0fa917d85c21cf6435464c2c6aa3d45f6720,0x786ea62bc54613c3639a6275f88d3b86ce3a0d45,18,https://www.coingecko.com/en/coins/amun-ether-3x-daily-long,https://ethplorer.io/images/ETH3L239b0fa9.png
